name,coordinates,route_id
NNUU y Rep. Salvador,"[
[-78.47934901714325, -0.1772508178118706],
[-78.47956895828246, -0.17865628855669383]
]",1
Rep. Salvador,"[
[-78.47960114479065, -0.17719717388818834],
[-78.47984254360199, -0.17859728024513682]
]",1
Rep. Salvador y Suecia,"[
[-78.47956895828246, -0.17865628855669383],
[-78.47983717918396, -0.17972916691555924],
[-78.48011612892151, -0.18167644097563732]
]",2
Rep. Salvador 2,"[
[-78.47984254360199, -0.17859728024513682],
[-78.48037362098692, -0.18160670389168948]
]",2
NNUU y 6 de Diciembre,"[
[-78.47937047481537, -0.17720253828056673],
[-78.47821176052094, -0.17742784275889487],
[-78.47817957401276, -0.17758341013519693],
[-78.47826540470123, -0.17808229860895908],
[-78.47887694835663, -0.17804474786409136],
[-78.47887694835663, -0.17814667131426848],
[-78.47828686237335, -0.1782110440193616],
[-78.47840487957001, -0.1788011271388119],
[-78.4791451692581, -0.17866165294863967],
[-78.47917199134827, -0.17876357639540724],
[-78.47842097282408, -0.17894596571977225],
[-78.47860336303711, -0.18022805533097727],
[-78.4791451692581, -0.18018514019901088],
[-78.47918808460236, -0.18025487728841652],
[-78.47863018512726, -0.180324614377555]
]",3
NNUU y Shyris,"[
[-78.47960114479065, -0.17719717388818834],
[-78.48064184188843, -0.1769986913692332],
[-78.48093152046204, -0.1771864451034315],
[-78.48168790340424, -0.1813545775090501]
]",3
6 de Diciembre,"[
[-78.47863018512726, -0.180324614377555],
[-78.47868919372559, -0.18069475738465696],
[-78.47939193248749, -0.18065720664514529],
[-78.47942411899567, -0.18075376568944573],
[-78.4787106513977, -0.18081277399403098],
[-78.47873747348785, -0.1812151033384192],
[-78.47931146621704, -0.18115073064391093],
[-78.4793221950531, -0.18126338285913815],
[-78.47875356674194, -0.1813170267708997],
[-78.47883939743042, -0.18190710978983174],
[-78.48014831542969, -0.18166034780244597]
]",4
6 de Diciembre y Portugal,"[
[-78.47857117652893, -0.18205731273702636],
[-78.47824394702911, -0.1822397020283645],
[-78.47758412361145, -0.18207340590986146]
]",4
Petroamazonas de la 6 de Diciembre,"[
[-78.47860336303711, -0.18234162545506913],
[-78.47868382930756, -0.182829785017094],
[-78.47754657268524, -0.18294243722182538],
[-78.4775573015213, -0.18307118259780158],
[-78.47869992256165, -0.18294243722182538],
[-78.478764295578, -0.18348424067282632],
[-78.47780406475067, -0.18361835043537958]
]",4
Fybeca,"[
[-78.47786843776703, -0.183741731416064],
[-78.47873210906982, -0.1835861640924701],
[-78.4789627790451, -0.1849272616650785]
]",4
Holanda,"[
[-78.48108172416687, -0.1817300848861775],
[-78.48161280155182, -0.18513110848726744],
[-78.48169326782227, -0.18511501531718033],
[-78.48149478435516, -0.1836827231210586],
[-78.48206877708435, -0.18358079970197458]
]",5
Holanda 2,"[
[-78.48173081874847, -0.18163889023816118],
[-78.4811943769455, -0.18174617805930524],
[-78.4814840555191, -0.18356470653047532],
[-78.4820419549942, -0.18345741872018334],
[-78.48173081874847, -0.18163889023816118]
]",5
Dann Carton,"[
[-78.48108172416687, -0.1817300848861775],
[-78.48041653633118, -0.18191247418082343],
[-78.48075985908508, -0.1837256382447174]
]",6
Dann Carton sur,"[
[-78.48075985908508, -0.1837256382447174],
[-78.48086178302765, -0.18420306898841152],
[-78.48116219043732, -0.18417624703684995],
[-78.48120510578156, -0.18428353484281637],
[-78.48089396953583, -0.1843479075261036],
[-78.4810334444046, -0.18489507532452262],
[-78.48213315010071, -0.1856139035830996],
[-78.48241746425629, -0.1855656240741105],
[-78.4820258617401, -0.183607621654414]
]",7
